claimH1,stances1,claimCount1,claimH2,stances2,claimCount2,claimH3,stances3,claimCount3
Apple CEO Tim Cook changed the company's on-hold music,(1) appleinsider.com: against against observing observing observing<br/><br/>(2) macdailynews.com: against for observing observing observing<br/><br/>(3) www.businessinsider.com: against against for for for<br/><br/>(4) www.cultofmac.com: against for for for observing<br/><br/>(5) www.dailydot.com: against against for observing observing<br/><br/>,226.0,A 113-year-old time capsule was found hidden inside a lion statue in Boston,(1) bigstory.ap.org: against against for observing observing<br/><br/>(2) io9.com: against against for for observing<br/><br/>(3) news.discovery.com: against for for for for<br/><br/>(4) time.com: for for for observing observing<br/><br/>(5) www.bostonglobe.com: against for for for for<br/><br/>(6) www.cnn.com: for for observing observing observing<br/><br/>(7) www.dailymail.co.uk: against for for for for<br/><br/>(8) www.reuters.com: against for for for observing<br/><br/>,227.0,Transgender teenager Leelah Alcorn committed suicide and left a note on her Tumblr,(1) jezebel.com: against for for observing observing<br/><br/>(2) perezhilton.com: against for for for observing<br/><br/>(3) www.dailymail.co.uk: against against for for for<br/><br/>(4) www.huffingtonpost.co.uk: against against for for for<br/><br/>(5) www.inquisitr.com: against for for for observing<br/><br/>(6) www.lgbtqnation.com: for for observing observing observing<br/><br/>(7) www.mirror.co.uk: for for observing observing observing<br/><br/>(8) www.newnownext.com: for observing observing observing observing<br/><br/>(9) www.news.com.au: against for for observing observing<br/><br/>,228.0
A man caught stealing women's underwear was forced to wear it and walk around in public,(1) metro.co.uk: for for for observing observing<br/><br/>(2) www.mirror.co.uk: against for for for observing<br/><br/>,229.0,A man paid 300 for surgery for his constipated goldfish,(1) mashable.com: against against observing observing observing<br/><br/>(2) www.bbc.com: for for for observing observing<br/><br/>(3) www.dailymail.co.uk: against against for for for<br/><br/>(4) www.edp24.co.uk: against for for observing observing<br/><br/>(5) www.huffingtonpost.co.uk: against for for for for<br/><br/>(6) www.nydailynews.com: observing observing observing observing observing<br/><br/>,230.0,A developer quit his job with an X-rated message inserted in a video game called Electric Boogie,(1) metro.co.uk: against for observing observing observing<br/><br/>(2) uniladmag.com: against observing observing observing observing<br/><br/>(3) www.brobible.com: against for for for observing<br/><br/>(4) www.dailydot.com: against observing observing observing observing<br/><br/>(5) www.opposingviews.com: for for for observing observing<br/><br/>,231.0
Viral photo shows a worker at an app-ranking manipulation farm,(1) en.huxiu.com: for for observing observing observing<br/><br/>(2) news.mydrivers.com: against observing observing observing observing<br/><br/>(3) www.techinasia.com: for for for for observing<br/><br/>(4) www.cultofmac.com: for for observing observing observing<br/><br/>(5) www.huffingtonpost.co.uk: against for observing observing observing<br/><br/>(6) www.iclarified.com: for for for for observing<br/><br/>(7) www.wantchinatimes.com: against for observing observing observing<br/><br/>,232.0,Vogue magazine's new offices are infested with rats,(1) au.ibtimes.com: against for for observing observing<br/><br/>(2) gawker.com: for for for observing observing<br/><br/>(3) gawker.com: for for for for for<br/><br/>(4) nymag.com: against for for for observing<br/><br/>(5) nymag.com: for observing observing observing observing<br/><br/>(6) pagesix.com: against for for for observing<br/><br/>(7) pagesix.com: against for for observing observing<br/><br/>(8) racked.com: against for for for observing<br/><br/>(9) radaronline.com: for for observing observing observing<br/><br/>(10) www.dailymail.co.uk: for for for observing observing<br/><br/>(11) www.dailymail.co.uk: against against for observing observing<br/><br/>(12) www.dailymail.co.uk: against against for observing observing<br/><br/>(13) www.foxnews.com: for observing observing observing observing<br/><br/>(14) www.independent.co.uk: for for observing observing observing<br/><br/>(15) www.inquisitr.com: against observing observing observing observing<br/><br/>(16) www.mirror.co.uk: against for for for observing<br/><br/>(17) www.nydailynews.com: against for for for for<br/><br/>(18) www.people.com: against observing observing observing observing<br/><br/>(19) www.thegloss.com: against for for for observing<br/><br/>(20) www.thetimes.co.uk: against for for for observing<br/><br/>,233.0,"After Canadian police published a wanted post on Facebook, the target replied and later turned himself in",(1) www.buzzfeed.com: against for for observing observing<br/><br/>(2) www.cbc.ca: against against for for observing<br/><br/>(3) www.ctvnews.ca: against against for for observing<br/><br/>(4) www.huffingtonpost.ca: against for for for observing<br/><br/>,234.0
Apple will sell 15 million Apple Watches in 2015,(1) 9to5mac.com: against against for for observing<br/><br/>(2) blogs.strategyanalytics.com: against for for for observing<br/><br/>(3) siliconangle.com: against for for for for<br/><br/>,235.0,Willie Nelson is dead,(1) en.mediamass.net: against for observing observing observing<br/><br/>(2) msmbc.co: against for for for observing<br/><br/>(3) www.inquisitr.com: against against for observing observing<br/><br/>(4) www.newseveryday.com: against against against observing observing<br/><br/>,236.0,An 85-year-old woman was arrested for making fur coats out of her neighbors cats,(1) firsttoknow.com: against against for for for<br/><br/>(2) video.roanoke.com: against against against for for<br/><br/>(3) worldnewsdailyreport.com: against for for for observing<br/><br/>,237.0
Lovesick woman stays in KFC for one week,(1) gawker.com: against for for observing observing<br/><br/>(2) metro.co.uk: against for for for for<br/><br/>(3) nypost.com: for for for for for<br/><br/>(4) time.com: for for for for observing<br/><br/>(5) www.dailymail.co.uk: against for for for observing<br/><br/>(6) www.foxnews.com: for for for observing observing<br/><br/>(7) www.huffingtonpost.co.uk: against for for for for<br/><br/>(8) www.telegraph.co.uk: against for for for for<br/><br/>,238.0,A woman lost her eye after being hit with a bean bag shot by police in Ferguson,(1) mashable.com: against for for for observing<br/><br/>(2) mediablackoutusa.com: against against for for observing<br/><br/>(3) nypost.com: against for for for observing<br/><br/>(4) stlouis.cbslocal.com: against against for for observing<br/><br/>(5) twitter.com: against against against against against<br/><br/>(6) thesource.com: against against for for observing<br/><br/>(7) www.dailymail.co.uk: against against for for observing<br/><br/>(8) www.kmov.com: against for for for observing<br/><br/>(9) www.mirror.co.uk: against for for for observing<br/><br/>(10) www.nydailynews.com: against for for for observing<br/><br/>(11) www.saycheesetv.com: against for for observing observing<br/><br/>,239.0,"A woman woke up during brain surgery and talked about cats, asked the surgeons How's it going?",(1) metro.co.uk: for for for for observing<br/><br/>(2) nypost.com: for for for for observing<br/><br/>(3) www.business2community.com: against for for for observing<br/><br/>(4) www.dailymail.co.uk: against against for for observing<br/><br/>(5) www.examiner.com: against against for for observing<br/><br/>(6) www.foxnews.com: for for for observing observing<br/><br/>(7) www.inquisitr.com: against for for observing observing<br/><br/>(8) www.mirror.co.uk: against for for for observing<br/><br/>(9) www.mumbaimirror.com: for for for observing observing<br/><br/>(10) www.news.com.au: against for for for observing<br/><br/>(11) www.newsmaxhealth.com: against for for observing observing<br/><br/>(12) www.opposingviews.com: for for for observing observing<br/><br/>(13) www.thesun.co.uk: against for for for observing<br/><br/>,240.0
ISIS leader Abu Bakr al-Baghdadi was wounded in U.S. Airstrike,(1) metro.co.uk: for for observing observing observing<br/><br/>(2) time.com: against for for observing observing<br/><br/>(3) www.bustle.com: against for for for observing<br/><br/>(4) www.cbc.ca: against observing observing observing observing<br/><br/>(5) www.cbc.ca: for for for observing observing<br/><br/>(6) www.christianpost.com: against for for observing observing<br/><br/>(7) www.dailymail.co.uk: against for for for observing<br/><br/>(8) www.dailymail.co.uk: for observing observing observing observing<br/><br/>(9) www.ibtimes.co.uk: against for observing observing observing<br/><br/>(10) www.independent.co.uk: against for observing observing observing<br/><br/>(11) www.independent.co.uk: against for observing observing observing<br/><br/>(12) www.smh.com.au: against observing observing observing observing<br/><br/>(13) www.smh.com.au: against observing observing observing observing<br/><br/>(14) www.theguardian.com: against observing observing observing observing<br/><br/>(15) www.washingtonpost.com: against for for observing observing<br/><br/>,241.0,11 commercial aircraft went missing from the Tripoli airport,(1) allafrica.com: for for observing observing observing<br/><br/>(2) english.alarabiya.net: against for for observing observing<br/><br/>(3) freebeacon.com: against for for observing observing<br/><br/>(4) freebeacon.com: against for observing observing observing<br/><br/>(5) metro.co.uk: for for for for for<br/><br/>(6) www.breitbart.com: for for observing observing observing<br/><br/>(7) www.dailymail.co.uk: against for observing observing observing<br/><br/>(8) www.foxnews.com: for for for observing observing<br/><br/>(9) www.huffingtonpost.co.uk: for for for for observing<br/><br/>(10) www.inquisitr.com: against for for for for<br/><br/>(11) www.news.com.au: against for for observing observing<br/><br/>(12) www.newsmax.com: for for for observing observing<br/><br/>(13) www.snopes.com: observing observing observing observing observing<br/><br/>(14) www.sunnewsnetwork.ca: against for for observing observing<br/><br/>(15) www.theblaze.com: against for for for observing<br/><br/>(16) www.theblaze.com: for for observing observing observing<br/><br/>(17) www.usatoday.com: for for for for for<br/><br/>(18) www.washingtontimes.com: against against for for for<br/><br/>(19) www.wnd.com: for for for for observing<br/><br/>,242.0,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,(1) egyptianstreets.com: against against against against against<br/><br/>(2) english.ahram.org.eg: against against against against for<br/><br/>(3) mondoweiss.net: against observing observing observing observing<br/><br/>(4) www.middleeastmonitor.com: against for for observing observing<br/><br/>(5) www.middleeastmonitor.com: for for for for for<br/><br/>(6) www.breakingisraelnews.com: for for for for for<br/><br/>(7) www.egyptindependent.com: against against against against for<br/><br/>(8) www.ibtimes.co.uk: for for for for for<br/><br/>(9) www.imra.org.il: for for for for for<br/><br/>(10) www.indybay.org: against observing observing observing observing<br/><br/>(11) www.jpost.com: against against against observing observing<br/><br/>(12) www.jpost.com: against for for for for<br/><br/>(13) www.theblaze.com: against for for for observing<br/><br/>,243.0
Amazon will launch an ad-supported video streaming service in early 2015,(1) bgr.com: against for observing observing observing<br/><br/>(2) in.reuters.com: for for for for observing<br/><br/>(3) nypost.com: for for for for observing<br/><br/>(4) www.businessinsider.com: for for observing observing observing<br/><br/>(5) www.engadget.com: for for observing observing observing<br/><br/>(6) www.pcmag.com: for for for for for<br/><br/>,244.0,Apple will not reveal the iTunes subscription service based on Beats Music at the March 9th Spring Forward Event,(1) 9to5mac.com: against for for observing observing<br/><br/>,245.0,Apple will announce a 12-inch MacBook Air Retina at the March 9th Spring Forward Event,(1) bgr.com: for for for observing observing<br/><br/>(2) themichaelreport.com: for for for for for<br/><br/>(3) www.cultofmac.com: for for for observing observing<br/><br/>(4) www.macrumors.com: for observing observing observing observing<br/><br/>,246.0
Apple delayed production of a 12-inch iPad Pro and will not announce it at the March 9th event,(1) 9to5mac.com: against for for observing observing<br/><br/>(2) bgr.com: for for observing observing observing<br/><br/>(3) www.bloomberg.com: for for for for for<br/><br/>(4) www.businessinsider.com: for for for for for<br/><br/>(5) www.macrumors.com: for for for observing observing<br/><br/>,247.0,HBO Now streaming subscription is coming to Apple TV,(1) 9to5mac.com: for for observing observing observing<br/><br/>(2) americasmarkets.usatoday.com: for for for for for<br/><br/>(3) appleinsider.com: for for observing observing observing<br/><br/>(4) arstechnica.com: for for for for observing<br/><br/>(5) www.businessinsider.com: for for for for observing<br/><br/>(6) www.fastcompany.com: for for for for observing<br/><br/>(7) www.ibtimes.com: for for for observing observing<br/><br/>(8) www.macrumors.com: for for observing observing observing<br/><br/>(9) www.techtimes.com: for for for for observing<br/><br/>(10) www.theverge.com: for for observing observing observing<br/><br/>,248.0,Apple will sell 30 million Watches in 2015,(1) 9to5mac.com: against for observing observing observing<br/><br/>,249.0
Apple removed from Apple Watch a sensor that would monitor blood-pressure,(1) 9to5mac.com: for for for for observing<br/><br/>(2) appleinsider.com: for for for for for<br/><br/>(3) arstechnica.com: against for for for for<br/><br/>(4) www.businessinsider.com: for for for for for<br/><br/>(5) www.cnet.com: for for for for for<br/><br/>(6) www.engadget.com: against for for for for<br/><br/>(7) www.macrumors.com: for for for for for<br/><br/>,250.0,The Apple Watch will ship by the end of March,(1) 9to5mac.com: for for observing observing observing<br/><br/>(2) bostinno.streetwise.co: for for for for observing<br/><br/>(3) www.cnbc.com: for for for for observing<br/><br/>(4) www.macrumors.com: for for for observing observing<br/><br/>(5) www.macworld.com: for for observing observing observing<br/><br/>(6) www.pcmag.com: for for for for for<br/><br/>,251.0,Apple will take appointments at Apple Stores to try on the Apple Watch,(1) www.businessinsider.com: for for for for observing<br/><br/>(2) www.macrumors.com: for for for for for<br/><br/>,252.0
A young boy's aunt chopped off his penis after he interrupted her in the bathroom,(1) austriantimes.at: for for for for for<br/><br/>(2) crimefeed.com: for for for for observing<br/><br/>(3) metro.co.uk: for for for for observing<br/><br/>(4) www.croatiantimes.com: for for for for for<br/><br/>(5) www.dailymail.co.uk: against for for for for<br/><br/>(6) www.dailytelegraph.com.au: for for for for for<br/><br/>(7) www.ibtimes.co.uk: for for for for for<br/><br/>(8) www.inquisitr.com: for for for for for<br/><br/>(9) www.news.com.au: for for for for for<br/><br/>(10) www.opposingviews.com: for for for for for<br/><br/>,253.0,Low snowfall led an Austrian ski resort to use snow gathered the previous season,(1) austriantimes.at: for for for for observing<br/><br/>,254.0,Guns N Roses signer Axel Rose is dead,(1) en.mediamass.net: against against for for for<br/><br/>(2) msnbc.website: for for for for for<br/><br/>(3) hollywoodlife.com: against against observing observing observing<br/><br/>(4) uproxx.com: against against against for observing<br/><br/>(5) www.gossipcop.com: against against against against against<br/><br/>(6) www.inquisitr.com: against against against against observing<br/><br/>(7) www.mediaite.com: against for for for observing<br/><br/>(8) www.theepochtimes.com: against against against against observing<br/><br/>,255.0
A 5-year-old boy was invoiced for missing a birthday party,(1) fox8.com: for for for for for<br/><br/>(2) kfor.com: against for for for for<br/><br/>(3) news.nationalpost.com: against for for for observing<br/><br/>(4) www.bbc.com: for for for for observing<br/><br/>(5) www.express.co.uk: against against for for for<br/><br/>(6) www.inquisitr.com: for for for for observing<br/><br/>(7) www.plymouthherald.co.uk: for for for for for<br/><br/>(8) www.telegraph.co.uk: for for for for for<br/><br/>,256.0,An Indian bride married a guest at her wedding after her fiance had a seizure and collapsed,(1) timesofindia.indiatimes.com: for for for for observing<br/><br/>(2) www.bbc.com: for for for for observing<br/><br/>(3) www.buzzfeed.com: for for for for observing<br/><br/>(4) www.ibtimes.co.in: for for for for observing<br/><br/>(5) www.ibtimes.co.uk: for for for for for<br/><br/>(6) www.independent.co.uk: for for for for for<br/><br/>(7) www.indiatimes.com: against for for for for<br/><br/>(8) www.mirror.co.uk: against for for for for<br/><br/>(9) www.telegraph.co.uk: against against for for for<br/><br/>,257.0,Someone vandalized a Bugatti sportscar with a penis drawing,(1) mashable.com: against against for for observing<br/><br/>(2) metro.co.uk: for for for for observing<br/><br/>(3) socialnewsdaily.com: against for observing observing observing<br/><br/>(4) www.buzzfeed.com: for for for for observing<br/><br/>(5) www.dailymail.co.uk: against against for<br/><br/>(6) www.deathandtaxesmag.com: for for for<br/><br/>(7) www.huffingtonpost.co.uk: for for for<br/><br/>(8) www.mirror.co.uk: for for for<br/><br/>(9) www.standard.co.uk: for for for<br/><br/>,258.0
"Cesar Milln, the Dog Whisperer, has died",(1) wafflesatnoon.com: against against against against against<br/><br/>(2) www.ibtimes.co.in: against against against against against<br/><br/>(3) www.metro.se: against against against against against<br/><br/>(4) www.monitornacional.com: for observing observing observing observing<br/><br/>(5) www.noticiasunam.com: for for for for for<br/><br/>,259.0,"South African dog fighters forced children to mimic dog fighting, placed bets",(1) springsadvertiser.co.za: for for for for observing<br/><br/>(2) www.croatiantimes.com: for for for for for<br/><br/>(3) www.examiner.com: against against for for for<br/><br/>(4) www.iol.co.za: for for for for for<br/><br/>(5) www.news24.com: for for for observing observing<br/><br/>,260.0,Christian Bale to play Steve Jobs in an upcoming bio flick,(1) 9to5mac.com: for for for observing observing observing observing<br/><br/>(2) appleinsider.com: for for for for for for for<br/><br/>(3) appleinsider.com: against against against against against for for<br/><br/>(4) dailycaller.com: for for for for for for observing<br/><br/>(5) gizmodo.com: for for for for for for observing<br/><br/>(6) gizmodo.com: against against against against for for<br/><br/>(7) gizmodo.com: against for for for for for<br/><br/>(8) gizmodo.com: against against against observing observing observing<br/><br/>(9) time.com: for for for for for for<br/><br/>(10) variety.com: against against against against against against<br/><br/>(11) variety.com: for for for for for for observing<br/><br/>(12) www.businessinsider.com: for for for for for for observing<br/><br/>(13) www.businessinsider.com: against against against against against against observing<br/><br/>(14) www.cnn.com: against against against against against against against<br/><br/>(15) www.hollywoodreporter.com: against against against against against against observing<br/><br/>(16) www.hollywoodreporter.com: for for observing observing observing<br/><br/>(17) www.huffingtonpost.com: against against against against against<br/><br/>(18) www.latimes.com: for for for observing observing<br/><br/>(19) www.macrumors.com: for for observing observing observing<br/><br/>(20) www.macrumors.com: against against against against against<br/><br/>(21) www.mediaite.com: against against against against against for<br/><br/>(22) www.telegraph.co.uk: against against against against against against<br/><br/>(23) www.theguardian.com: for for for for for for<br/><br/>(24) www.theverge.com: for for for for for observing<br/><br/>(25) www.thewrap.com: for for for observing observing observing<br/><br/>(26) www.usatoday.com: against against against against against against against<br/><br/>,261.0
Comcast got a man fired from his job after he complained about the company's service,(1) arstechnica.com: for for for for for for observing<br/><br/>(2) consumerist.com: for for for for for observing observing<br/><br/>(3) gawker.com: for for for for for for observing<br/><br/>(4) gawker.com: for for for for for observing observing<br/><br/>(5) money.cnn.com: for for for for observing observing<br/><br/>(6) nymag.com: for for for for observing observing<br/><br/>(7) www.businessinsider.com: for for for for for observing<br/><br/>(8) www.epictimes.com: for for for for for for<br/><br/>(9) www.inquisitr.com: for for for for for for<br/><br/>(10) www.news.com.au: against for for for for for<br/><br/>(11) www.phillymag.com: against for observing observing observing observing<br/><br/>(12) www.slate.com: for observing observing observing observing observing<br/><br/>,262.0,There is a case of Ebola in Kansas City,(1) fox4kc.com: against against against against against against<br/><br/>(2) www.breitbart.com: for for for for observing observing<br/><br/>(3) www.breitbart.com: against against against against for for<br/><br/>(4) www.kansascity.com: against against against against against against<br/><br/>(5) www.kctv5.com: against against against against for for<br/><br/>(6) www.kmbc.com: against against against against against against<br/><br/>(7) www.kshb.com: against against against against against observing<br/><br/>(8) www.kwch.com: against against against against against for for<br/><br/>(9) www.thegatewaypundit.com: for for for for observing observing observing<br/><br/>(10) www.wibw.com: against against against against against against against<br/><br/>,263.0,Elon University has banned use of the term freshman,(1) myfox8.com: against against against against against against against<br/><br/>(2) www.elonpendulum.com: against against against against against against against<br/><br/>(3) www.nationalreview.com: for for for for for observing<br/><br/>(4) www.thecollegefix.com: for for for for for observing<br/><br/>,264.0
Google will purchase roughly half of Pacific Shores office park,(1) www.bizjournals.com: against for for for for observing<br/><br/>(2) www.bizjournals.com: for for for for for observing<br/><br/>(3) www.bloomberg.com: against for for for observing observing<br/><br/>(4) www.businessweek.com: against for for for observing<br/><br/>(5) www.businessweek.com: against against for for for<br/><br/>(6) www.livemint.com: against against for for observing<br/><br/>(7) www.nbcbayarea.com: against for for for for<br/><br/>,265.0,"A grenade was found in a safe in Bromley, England",(1) www.newsshopper.co.uk: against against for for for<br/><br/>,266.0,The police officer leading the Charlie Hebdo investigation committed suicide,(1) 21stcenturywire.com: for for for for for<br/><br/>(2) english.alarabiya.net: for for for for observing<br/><br/>(3) uprootedpalestinians.wordpress.com: for for for observing observing<br/><br/>(4) www.dailyrecord.co.uk: for for for for for<br/><br/>(5) www.mirror.co.uk: for for for for for<br/><br/>(6) www.standard.co.uk: for for for for for for<br/><br/>(7) yournewswire.com: for for for for for observing<br/><br/>,267.0
American hostage Luke Somers was killed during a rescue attempt,(1) english.alarabiya.net: against for observing observing observing observing<br/><br/>(2) www.bbc.com: for for for for for observing<br/><br/>(3) www.dailymail.co.uk: for for for observing observing observing<br/><br/>(4) www.dailymail.co.uk: for for for for for<br/><br/>(5) www.dailymail.co.uk: for for for for for<br/><br/>(6) www.dailymail.co.uk: for for for for for<br/><br/>(7) www.dailymail.co.uk: for for for for for<br/><br/>(8) www.express.co.uk: for for for for for<br/><br/>(9) www.ibtimes.com: against against for for for for observing<br/><br/>(10) www.independent.co.uk: against against for for for for for<br/><br/>(11) www.nbcnews.com: against against for for for for for<br/><br/>(12) www.nytimes.com: against for for for for for for<br/><br/>(13) www.telegraph.co.uk: against against for for for for for<br/><br/>(14) www.usatoday.com: against for for for for for for<br/><br/>,268.0,Doctors confirmed the first case of death by genetically modified food,(1) disinfo.com: against for for for for for for<br/><br/>(2) reseauinternational.net: for for for for for for for<br/><br/>,269.0,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,(1) mashable.com: for for for for for for for<br/><br/>(2) www.bbc.com: for for for for for for for<br/><br/>(3) www.buzzfeed.com: for for for for for<br/><br/>(4) www.cbsnews.com: for for for for for<br/><br/>(5) www.examiner.co.uk: for for for for for<br/><br/>(6) www.huffingtonpost.com: for for for for for<br/><br/>(7) www.independent.co.uk: for for for for for<br/><br/>,270.0
"IBM will cut more than 110,000 jobs this week",(1) business.financialpost.com: for for for for observing<br/><br/>(2) finance.yahoo.com: for observing observing observing observing<br/><br/>(3) metro.co.uk: for for for for for<br/><br/>(4) news.sky.com: for for for for observing<br/><br/>(5) www.cbc.ca: for for for observing observing<br/><br/>(6) www.ibtimes.co.uk: for for for for for<br/><br/>(7) www.itworld.com: for for for for for<br/><br/>(8) www.theguardian.com: against against against against against<br/><br/>(9) www.thestandard.com.hk: against against against against against<br/><br/>,271.0,Photos comparing school lunches from around the world include a meagre offering from the U.S.,(1) antiviral.gawker.com: against for observing observing observing<br/><br/>(2) conservativetribune.com: for for for for observing<br/><br/>(3) www.dailymail.co.uk: for for for for observing<br/><br/>,272.0,ISIS executed two of its own fighters in Al-Bukamal,(1) en.ria.ru: against for for for observing<br/><br/>(2) syriahr.com: against for for for observing<br/><br/>(3) www.cbn.com: against for for for observing<br/><br/>(4) www.independent.co.uk: against for for for for<br/><br/>,273.0
Some ISIS fighters have contracted Ebola,(1) dailycaller.com: for for for observing observing<br/><br/>(2) gawker.com: against against against against for<br/><br/>(3) mashable.com: for for for for for<br/><br/>(4) news.yahoo.com: against against against against observing<br/><br/>(5) nypost.com: for for for observing observing<br/><br/>(6) rudaw.net: for for for for observing<br/><br/>(7) www.alsabaah.iq: against against for observing observing<br/><br/>(8) www.breitbart.com: for for for for for<br/><br/>(9) www.breitbart.com: against for for for for<br/><br/>(10) www.christianpost.com: for for observing observing observing<br/><br/>(11) www.dailymail.co.uk: for for for for for<br/><br/>(12) www.digitaljournal.com: for for for observing observing<br/><br/>(13) www.express.co.uk: for for for for observing<br/><br/>(14) www.ibtimes.com: against for for for observing<br/><br/>(15) www.ibtimes.co.uk: for observing observing observing observing<br/><br/>(16) www.ibtimes.co.uk: against against against against against<br/><br/>(17) www.independent.co.uk: against against against against against<br/><br/>(18) www.inquisitr.com: for for for for observing<br/><br/>(19) www.latinpost.com: for for observing observing observing<br/><br/>(20) www.mediaite.com: against against against for observing<br/><br/>(21) www.news.com.au: for for for for observing<br/><br/>(22) www.newseveryday.com: for for observing observing observing<br/><br/>(23) www.opposingviews.com: for for for for observing<br/><br/>(24) www.reuters.com: against against against against observing<br/><br/>(25) www.sciencetimes.com: for observing observing observing observing<br/><br/>(26) www.thedailystar.net: for for for for for<br/><br/>(27) www.voanews.com: against against against observing observing<br/><br/>(28) www.washingtonpost.com: against against against against against<br/><br/>(29) www.weeklystandard.com: for for for for for<br/><br/>(30) www.wnd.com: for for for for observing<br/><br/>(31) www.zerohedge.com: for for for observing observing<br/><br/>,274.0,ISIS used chlorine gas in an attack near Fallujah,(1) basnews.com: for for for for observing<br/><br/>(2) rt.com: for for for for observing<br/><br/>(3) www.al-monitor.com: for for for for for<br/><br/>(4) www.dailysabah.com: for for for for observing<br/><br/>(5) www.i24news.tv: for for for for observing<br/><br/>(6) www.ibtimes.co.in: against for for for observing<br/><br/>(7) www.iraqinews.com: for for for for observing<br/><br/>(8) www.mintpressnews.com: for for for for observing<br/><br/>(9) www.ninanews.com: against against against observing observing<br/><br/>(10) www.thegatewaypundit.com: for for for for observing<br/><br/>(11) www.washingtonpost.com: for for for for observing<br/><br/>,275.0,Kim Jong Un's sister has been put in charge of the country,(1) mashable.com: for for observing observing observing<br/><br/>(2) thediplomat.com: for for for for observing<br/><br/>(3) www.cnn.com: for for observing observing observing<br/><br/>(4) www.dailymail.co.uk: for observing observing observing observing<br/><br/>(5) www.dailystar.co.uk: for observing observing observing observing<br/><br/>(6) www.ibtimes.com: against against observing observing observing<br/><br/>(7) www.ibtimes.com: for for observing observing observing<br/><br/>(8) www.ibtimes.co.uk: for for for for observing<br/><br/>(9) www.marketwatch.com: for observing observing observing observing<br/><br/>(10) www.nydailynews.com: for for observing observing observing<br/><br/>(11) www.theepochtimes.com: for for for observing observing<br/><br/>(12) www.theguardian.com: for for observing observing observing<br/><br/>(13) www.todayonline.com: against for for for for<br/><br/>(14) www.usatoday.com: against observing observing observing observing<br/><br/>,276.0
The Indian government fired an employee who hadn't been to work in 24 years,(1) cnews.canoe.ca: for for for for for<br/><br/>(2) ibnlive.in.com: for for for for for<br/><br/>(3) indianexpress.com: against for for for for<br/><br/>(4) indiatoday.intoday.in: for for for for for<br/><br/>(5) in.reuters.com: for for for for for<br/><br/>(6) www.bbc.com: for for for for for<br/><br/>(7) www.businessinsider.com: for for for for for<br/><br/>(8) www.telegraph.co.uk: for for for for for<br/><br/>(9) www.theguardian.com: for for for for observing<br/><br/>(10) www.thehindu.com: for for for for for<br/><br/>,277.0,Man hospitalized after winning eggnog-chugging contest.,(1) abcnews.go.com: for for for for observing<br/><br/>(2) news.yahoo.com: for for for for observing<br/><br/>(3) www.ksl.com: for for for for observing<br/><br/>(4) www.nydailynews.com: for for for for observing<br/><br/>(5) www.upi.com: for for for for observing<br/><br/>,278.0,Journalist Matt Taibbi has left First Look Media,(1) nymag.com: for for for for observing<br/><br/>(2) pando.com: for for observing observing observing<br/><br/>(3) www.inside.com: for for for observing observing<br/><br/>(4) www.politico.com: against for for for observing<br/><br/>,279.0
A historian discovered a text with an account of a miracle performed by Jesus,(1) worldnewsdailyreport.com: for for for for for<br/><br/>(2) www.relevantmagazine.com: against against against against observing<br/><br/>,280.0,A hermaphrodite cat in Newfoundland is getting gender assignment surgery,(1) metro.co.uk: for for for for for<br/><br/>(2) national.suntimes.com: for for for for observing<br/><br/>(3) nypost.com: for for for for observing<br/><br/>(4) www.cbc.ca: for for for for for<br/><br/>(5) www.cosmopolitan.com: for for for for observing<br/><br/>(6) www.dailymail.co.uk: for for for for observing<br/><br/>(7) www.foxnews.com: for for for observing observing<br/><br/>(8) www.huffingtonpost.com: for for for for for<br/><br/>,281.0,An Afghan woman avenged her son's death by helping kill 25 Taliban fighters,(1) centralasiaonline.com: for observing observing observing observing<br/><br/>(2) www.khaama.com: for for for observing observing<br/><br/>(3) www.opposingviews.com: for for for observing observing<br/><br/>(4) www.dailymail.co.uk: for for for for observing<br/><br/>(5) www.ibtimes.com: for for for for observing<br/><br/>(6) www.mirror.co.uk: for for for for observing<br/><br/>(7) www.nbcnews.com: for for for for observing<br/><br/>(8) www.nydailynews.com: for for for for observing<br/><br/>(9) www.tolonews.com: for for for for observing<br/><br/>,282.0
